Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
,,,,,8.4,Information Technology (M.Sc),1,,Python,,,,,,,,,,Data Engineer
,,,,,6.72,Aviation Management,0,,Scrum Master,,,,,,,,,,Aviation Operations Manager
,,,,,8.04,Healthcare Management,1,,React,,,,,,,,,,Retail Store Manager
,,,,,8.18,Power Systems,1,,Photoshop,,,,,,,,,,Senior Data Scientist
,,,,,8.23,Automobile Engineering,1,,AWS,,,,,,,,,,Biomedical Engineer
,,,,,8.66,UI/UX Design,2,,CFA,,,,,,,,,,UI/UX Designer
,,,,,7.64,Operations Management,0,,AutoCAD,,,,,,,,,,Marketing Executive
,,,,,7.15,Mechanical Design,2,,React,,,,,,,,,,VLSI Architect
,,,,,9.21,UI/UX Design,0,,PMP,,,,,,,,,,UI/UX Designer
,,,,,7.26,Nursing,0,,AWS,,,,,,,,,,Dietician
S277,24.0,Male,3.4,1220.0,7.5,Arts,1,3.0,1,6.0,5.0,1.0,54000.0,6.0,5.0,Entry,8.0,No,
,,,,,8.74,Jewellery Design,2,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,9.86,Logistics & Supply Chain (Advanced),1,,PMP,,,,,,,,,,Supply Chain Manager
,,,,,9.94,Travel & Tourism,1,,AutoCAD,,,,,,,,,,Hotel Manager
,,,,,6.49,Hospitality Management,2,,,,,,,,,,,,Relationship Manager
S125,25.0,Male,3.9,1560.0,9.5,Medicine,4,9.0,5,10.0,9.0,5.0,150000.0,10.0,1.0,Senior,5.0,No,
,,,,,7.81,Operations Management (Advanced),0,,C++,,,,,,,,,,Product Manager
,,,,,9.48,Cybersecurity (Masters),1,,PMP,,,,,,,,,,R&D Engineer
,,,,,6.44,Banking & Financial Services,0,,AutoCAD,,,,,,,,,,Agri-Business Manager
,,,,,8.36,Data Science,1,,Google Analytics,,,,,,,,,,Lab Technician
,,,,,7.19,Production Engineering,1,,React,,,,,,,,,,Process Engineer
,,,,,8.2,Economics,1,,C++,,,,,,,,,,Financial Auditor
,,,,,9.63,Biotechnology (M.Sc),1,,,,,,,,,,,,Senior Researcher
,,,,,6.41,Marketing (Advanced),1,,Java,,,,,,,,,,Business Development Manager
,,,,,8.81,Retail Management (Advanced),1,,PMP,,,,,,,,,,Supply Chain Manager
,,,,,7.68,Banking & Insurance,2,,AutoCAD,,,,,,,,,,Retail Store Manager
,,,,,6.52,Economics,2,,AutoCAD,,,,,,,,,,Tax Consultant
,,,,,8.15,Mining Engineering,2,,PMP,,,,,,,,,,Structural Engineer
,,,,,8.14,Machine Learning,1,,CFA,,,,,,,,,,Senior Data Scientist
,,,,,7.91,Aviation Management (Advanced),0,,React,,,,,,,,,,Hospital Administrator
,,,,,8.7,Business Analytics,0,,CPA,,,,,,,,,,Business Analyst
,,,,,9.49,Finance (Advanced),0,,Google Analytics,,,,,,,,,,Investment Banker
,,,,,9.31,Mechanical Engineering ,2,,Java,,,,,,,,,,Project Manager
,,,,,6.23,Civil Engineering,0,,,,,,,,,,,,Site Supervisor
,,,,,7.0,Banking & Financial Services,2,,Python,,,,,,,,,,Portfolio Manager
,,,,,9.02,Hospitality & Tourism (Advanced),0,,Six Sigma,,,,,,,,,,Supply Chain Manager
,,,,,9.88,Petroleum Engineering,1,,AutoCAD,,,,,,,,,,Robotics Engineer
,,,,,8.12,Structural Engineering,0,,C++,,,,,,,,,,Senior Data Scientist
,,,,,6.25,Microbiology,2,,Java,,,,,,,,,,Registered Nurse
S082,24.0,Female,3.9,1540.0,9.75,Computer Science,4,9.0,5,10.0,9.0,5.0,138000.0,10.0,1.0,Senior,5.0,No,
,,,,,8.82,Civil Engineering,0,,Six Sigma,,,,,,,,,,Project Manager
,,,,,9.75,Sociology,2,,Python,,,,,,,,,,Content Writer
,,,,,8.19,Electrical Engineering,2,,Java,,,,,,,,,,Embedded Systems Engineer
,,,,,7.85,Agri-Business Management,0,,PMP,,,,,,,,,,Hospital Administrator
,,,,,9.07,Aviation Management (Advanced),1,,CFA,,,,,,,,,,Supply Chain Manager
,,,,,8.83,Artificial Intelligence,2,,PMP,,,,,,,,,,Software Developer
,,,,,7.0,Instrumentation Engineering,2,,Python,,,,,,,,,,Control Systems Engineer
,,,,,7.42,Animation & Multimedia,0,,Java,,,,,,,,,,Fashion Stylist
S256,22.0,Female,3.5,1300.0,8.0,Business,2,5.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,Mid,7.0,No,
,,,,,7.22,History,1,,AWS,,,,,,,,,,Policy Analyst
,,,,,7.67,Economics,2,,Google Analytics,,,,,,,,,,Psychologist
,,,,,8.16,Mining Engineering,1,,PMP,,,,,,,,,,Structural Engineer
,,,,,6.91,Auditing,0,,AWS,,,,,,,,,,Tax Consultant
,,,,,7.44,Information Technology (Masters),0,,Six Sigma,,,,,,,,,,VLSI Architect
,,,,,7.49,Economics,1,,CPA,,,,,,,,,,Tax Consultant
,,,,,9.33,Biotechnology (Masters),2,,React,,,,,,,,,,R&D Engineer
,,,,,8.81,Economics,2,,Scrum Master,,,,,,,,,,Chartered Accountant
,,,,,9.92,Nursing,0,,React,,,,,,,,,,Clinical Research Associate
,,,,,8.01,Environmental Engineering (Masters),2,,Google Analytics,,,,,,,,,,Senior Data Scientist
,,,,,7.97,Agriculture,1,,Google Analytics,,,,,,,,,,Microbiologist
,,,,,8.04,Psychology,1,,Python,,,,,,,,,,Microbiologist
,,,,,9.0,History,0,,AWS,,,,,,,,,,Content Writer
,,,,,8.07,Chemical Engineering,2,,React,,,,,,,,,,Structural Engineer
,,,,,7.87,International Business,2,,,,,,,,,,,,Marketing Executive
,,,,,7.0,Agriculture,1,,PMP,,,,,,,,,,Dietician
,,,,,9.53,Information Technology,0,,Six Sigma,,,,,,,,,,Software Developer
,,,,,8.78,Corporate Secretaryship,0,,Photoshop,,,,,,,,,,Chartered Accountant
,,,,,7.92,Performing Arts,0,,PMP,,,,,,,,,,Public Relations Officer
,,,,,9.91,Environmental Science (M.Sc),2,,CFA,,,,,,,,,,Senior Researcher
,,,,,8.91,Cybersecurity (Masters),1,,,,,,,,,,,,R&D Engineer
,,,,,6.26,Cybersecurity,2,,PMP,,,,,,,,,,System Engineer
,,,,,8.91,Civil Engineering,2,,Photoshop,,,,,,,,,,Project Manager
,,,,,9.9,Hospitality & Tourism (Advanced),2,,C++,,,,,,,,,,Supply Chain Manager
,,,,,8.56,IT Management,0,,Six Sigma,,,,,,,,,,Investment Banker
,,,,,9.59,Physics,1,,Google Analytics,,,,,,,,,,Software Developer
,,,,,6.44,Interior Design,1,,,,,,,,,,,,Interior Architect
S295,25.0,Male,3.9,1580.0,9.5,Medicine,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,Senior,5.0,No,
S390,25.0,Female,3.7,1400.0,8.75,Engineering,3,7.0,3,8.0,7.0,3.0,92000.0,8.0,2.0,Mid,6.0,No,
,,,,,8.38,Forensic Science (M.Sc),1,,C++,,,,,,,,,,Data Engineer
,,,,,8.54,Statistics,0,,CPA,,,,,,,,,,Software Developer
,,,,,6.31,Forensic Science,2,,AWS,,,,,,,,,,Forensic Expert
,,,,,7.35,Public Administration,1,,Google Analytics,,,,,,,,,,Art Director
,,,,,7.72,Artificial Intelligence (Masters),2,,Python,,,,,,,,,,Senior Data Scientist
,,,,,7.69,Computer Science (M.Sc),2,,CPA,,,,,,,,,,Data Engineer
,,,,,9.41,Mathematics,0,,Google Analytics,,,,,,,,,,Software Developer
,,,,,7.83,Marketing,2,,Google Analytics,,,,,,,,,,Marketing Executive
,,,,,8.74,Information Technology (M.Sc),0,,PMP,,,,,,,,,,Senior Researcher
,,,,,8.37,Mathematics,1,,Six Sigma,,,,,,,,,,Lab Technician
,,,,,6.62,Animation & Multimedia,1,,PMP,,,,,,,,,,Fashion Stylist
,,,,,8.39,Instrumentation Engineering,1,,React,,,,,,,,,,Embedded Systems Engineer
,,,,,6.69,Physics,0,,AWS,,,,,,,,,,Data Analyst
,,,,,8.59,Retail Management,0,,PMP,,,,,,,,,,Hotel Manager
,,,,,7.09,Communication Design,1,,AWS,,,,,,,,,,Fashion Stylist
,,,,,9.39,Finance (Advanced),0,,Six Sigma,,,,,,,,,,Investment Banker
,,,,,7.61,Product Design,1,,Scrum Master,,,,,,,,,,Product Designer
,,,,,7.1,Microbiology (M.Sc),1,,Python,,,,,,,,,,Clinical Psychologist
,,,,,7.4,Chemical Engineering,0,,Six Sigma,,,,,,,,,,Process Engineer
,,,,,6.08,Biotechnology (Masters),2,,AWS,,,,,,,,,,Robotics System Architect
,,,,,9.71,Business Analytics,2,,PMP,,,,,,,,,,Chartered Accountant
,,,,,8.33,Aeronautical Engineering,1,,CPA,,,,,,,,,,Biomedical Engineer
,,,,,8.36,Psychology,2,,CFA,,,,,,,,,,Psychologist
,,,,,9.58,Hindi,0,,CPA,,,,,,,,,,Content Writer
,,,,,8.08,Biomedical Engineering,1,,Python,,,,,,,,,,Biomedical Engineer
,,,,,9.97,Computer Applications,2,,Six Sigma,,,,,,,,,,Chartered Accountant
S338,23.0,Female,3.7,1460.0,9.0,Medicine,3,7.0,3,9.0,8.0,3.0,98000.0,9.0,2.0,Mid,6.0,No,
,,,,,9.91,Mechatronics Engineering,2,,AWS,,,,,,,,,,Robotics Engineer
,,,,,8.52,Psychology (M.Sc),1,,AWS,,,,,,,,,,Senior Researcher
,,,,,7.52,Forensic Science (M.Sc),1,,AutoCAD,,,,,,,,,,Data Engineer
,,,,,8.07,Operations Management (Advanced),0,,CPA,,,,,,,,,,Product Manager
,,,,,6.56,Agriculture,1,,CFA,,,,,,,,,,Dietician
,,,,,8.56,Agriculture Engineering,1,,Photoshop,,,,,,,,,,Robotics Engineer
S061,22.0,Male,3.3,1220.0,7.5,Business,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,Entry,8.0,No,
,,,,,8.65,Digital Marketing,1,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,8.47,Data Science (Masters),0,,CPA,,,,,,,,,,Senior Data Scientist
,,,,,9.83,Hospitality Management,0,,Google Analytics,,,,,,,,,,Hotel Manager
,,,,,8.06,Hindi,1,,Google Analytics,,,,,,,,,,Psychologist
,,,,,8.77,Corporate Secretaryship,2,,React,,,,,,,,,,Chartered Accountant
,,,,,9.09,Forensic Science,1,,React,,,,,,,,,,Software Developer
,,,,,9.22,Nutrition & Dietetics,2,,Python,,,,,,,,,,Clinical Research Associate
,,,,,6.53,Business Analytics,1,,AWS,,,,,,,,,,HR Generalist
,,,,,9.85,Information Technology (Masters),2,,AWS,,,,,,,,,,R&D Engineer
S255,25.0,Male,3.9,1560.0,9.5,Medicine,4,9.0,5,10.0,9.0,5.0,150000.0,10.0,1.0,Senior,5.0,No,
,,,,,6.24,Chemical Engineering,1,,AWS,,,,,,,,,,Site Supervisor
,,,,,8.4,Production Engineering,2,,AWS,,,,,,,,,,Structural Engineer
,,,,,7.47,Automobile Engineering,1,,,,,,,,,,,,Automotive Design Engineer
,,,,,7.03,Production Engineering,0,,CFA,,,,,,,,,,Process Engineer
,,,,,7.45,Geography,0,,CFA,,,,,,,,,,Policy Analyst
,,,,,6.6,Graphic Design,1,,,,,,,,,,,,Fashion Stylist
,,,,,8.79,Biotechnology (Masters),1,,AutoCAD,,,,,,,,,,R&D Engineer
S369,21.0,Male,3.6,1340.0,8.5,Marketing,2,5.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,Mid,6.0,No,
,,,,,8.18,Operations Management,1,,C++,,,,,,,,,,Marketing Executive
,,,,,9.71,Mechatronics Engineering,1,,CPA,,,,,,,,,,Robotics Engineer
,,,,,8.08,Information Technology,2,,Photoshop,,,,,,,,,,Data Scientist
,,,,,6.39,Animation & Multimedia,0,,Google Analytics,,,,,,,,,,Interior Architect
,,,,,8.14,English,0,,CFA,,,,,,,,,,Psychologist
,,,,,8.4,Retail Management,1,,CPA,,,,,,,,,,Retail Store Manager
,,,,,9.65,Interior Design,0,,,,,,,,,,,,UI/UX Designer
,,,,,6.42,Forensic Science (M.Sc),1,,C++,,,,,,,,,,Statistician
,,,,,6.52,Cybersecurity (Masters),1,,AWS,,,,,,,,,,VLSI Architect
,,,,,6.29,Entrepreneurship (Advanced),2,,Photoshop,,,,,,,,,,Business Development Manager
,,,,,9.57,International Business,2,,Python,,,,,,,,,,Chartered Accountant
,,,,,7.71,Retail Management,2,,Google Analytics,,,,,,,,,,Retail Store Manager
,,,,,8.13,Jewellery Design,0,,PMP,,,,,,,,,,Product Designer
,,,,,9.18,Performing Arts,1,,,,,,,,,,,,Journalist
,,,,,6.46,Environmental Engineering (Masters),2,,Six Sigma,,,,,,,,,,Robotics System Architect
,,,,,9.93,Sanskrit,1,,AWS,,,,,,,,,,Content Writer
,,,,,8.68,Aerospace Engineering,0,,Photoshop,,,,,,,,,,Robotics Engineer
S111,22.0,Male,3.3,1240.0,7.5,Psychology,1,3.0,1,6.0,5.0,1.0,48000.0,6.0,5.0,Entry,8.0,No,
,,,,,9.4,Accounting & Finance,0,,Scrum Master,,,,,,,,,,Chartered Accountant
,,,,,8.48,International Business,2,,PMP,,,,,,,,,,Marketing Executive
,,,,,8.99,Economics,1,,Six Sigma,,,,,,,,,,Chartered Accountant
S370,25.0,Female,3.7,1400.0,8.75,Engineering,3,7.0,3,8.0,7.0,3.0,92000.0,8.0,2.0,Mid,6.0,No,
,,,,,9.85,Statistics,1,,Java,,,,,,,,,,Software Developer
,,,,,6.96,Finance (Advanced),0,,AutoCAD,,,,,,,,,,HR Director
,,,,,7.0,Fashion Design,0,,C++,,,,,,,,,,Fashion Stylist
,,,,,9.2,Business Analytics (Advanced),1,,,,,,,,,,,,Investment Banker
,,,,,9.56,Computer Science (M.Sc),0,,,,,,,,,,,,Senior Researcher
,,,,,9.92,Entrepreneurship (Advanced),1,,AutoCAD,,,,,,,,,,Investment Banker
,,,,,9.86,Nutrition & Dietetics,1,,Java,,,,,,,,,,Clinical Research Associate
,,,,,6.37,Information Technology (Masters),0,,Scrum Master,,,,,,,,,,Robotics System Architect
,,,,,7.47,Hospitality & Tourism (Advanced),0,,Google Analytics,,,,,,,,,,Portfolio Manager
,,,,,7.29,Forensic Science (M.Sc),0,,Photoshop,,,,,,,,,,Clinical Psychologist
,,,,,6.71,Taxation,2,,React,,,,,,,,,,Tax Consultant
,,,,,6.93,Fine Arts,1,,C++,,,,,,,,,,Art Director
,,,,,6.73,Electronics & Communication Engineering,1,,AWS,,,,,,,,,,Control Systems Engineer
,,,,,9.45,Mathematics (M.Sc),0,,Java,,,,,,,,,,Senior Researcher
,,,,,7.42,Biotechnology,2,,Six Sigma,,,,,,,,,,Automotive Design Engineer
,,,,,8.3,Performing Arts,2,,AutoCAD,,,,,,,,,,Public Relations Officer
,,,,,7.84,Biotechnology,1,,CFA,,,,,,,,,,Biomedical Engineer
,,,,,9.41,Philosophy,2,,C++,,,,,,,,,,Content Writer
,,,,,9.68,Cybersecurity (Masters),2,,Java,,,,,,,,,,R&D Engineer
,,,,,9.0,Data Science (M.Sc),0,,Java,,,,,,,,,,Senior Researcher
,,,,,7.91,AI & Machine Learning,1,,CPA,,,,,,,,,,Data Scientist
S025,25.0,Male,3.7,1400.0,8.75,Law,3,7.0,3,8.0,7.0,3.0,98000.0,8.0,2.0,Mid,6.0,No,
,,,,,7.54,Accounting & Finance,2,,React,,,,,,,,,,Financial Auditor
,,,,,6.96,Cybersecurity,2,,AutoCAD,,,,,,,,,,Full Stack Developer
,,,,,8.82,Forensic Science,0,,Photoshop,,,,,,,,,,Software Developer
,,,,,6.08,Environmental Science,0,,C++,,,,,,,,,,Registered Nurse
,,,,,7.58,Logistics & Supply Chain,2,,CPA,,,,,,,,,,Marketing Executive
,,,,,7.54,Thermal Engineering,0,,Google Analytics,,,,,,,,,,Senior Data Scientist
,,,,,7.26,Financial Markets,1,,Six Sigma,,,,,,,,,,Tax Consultant
,,,,,8.53,Agri-Business Management,2,,React,,,,,,,,,,Supply Chain Manager
,,,,,9.22,Entrepreneurship (Advanced),2,,Six Sigma,,,,,,,,,,Investment Banker
,,,,,6.77,Robotics,1,,CPA,,,,,,,,,,VLSI Architect
,,,,,6.78,Agriculture Engineering,2,,AutoCAD,,,,,,,,,,Automotive Design Engineer
,,,,,8.15,Financial Markets,0,,,,,,,,,,,,Financial Auditor
,,,,,9.59,Digital Marketing (Advanced),1,,,,,,,,,,,,Investment Banker
,,,,,6.3,Logistics & Supply Chain,2,,React,,,,,,,,,,Sales Manager
,,,,,8.29,Performing Arts,2,,Scrum Master,,,,,,,,,,Public Relations Officer
,,,,,9.61,Human Resource Management,1,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,8.46,Nursing,0,,AWS,,,,,,,,,,Microbiologist
,,,,,9.52,Computer Science Engineering,2,,AWS,,,,,,,,,,AI Engineer
,,,,,6.42,Hindi,0,,Java,,,,,,,,,,Social Worker
,,,,,9.09,Political Science,1,,AWS,,,,,,,,,,Content Writer
,,,,,6.26,Jewellery Design,0,,Google Analytics,,,,,,,,,,Interior Architect
,,,,,8.71,Environmental Science (M.Sc),0,,Google Analytics,,,,,,,,,,Senior Researcher
,,,,,7.63,Journalism & Mass Communication,0,,Python,,,,,,,,,,Public Relations Officer
,,,,,6.75,Banking & Insurance,1,,AutoCAD,,,,,,,,,,Tax Consultant
,,,,,9.71,AI & Data Science,2,,AWS,,,,,,,,,,AI Engineer
,,,,,6.14,Nursing,1,,Java,,,,,,,,,,Registered Nurse
,,,,,9.93,Computer Science,0,,C++,,,,,,,,,,Software Developer
,,,,,7.64,Biotechnology,1,,C++,,,,,,,,,,Biomedical Engineer
,,,,,8.41,Textile Engineering,0,,C++,,,,,,,,,,Biomedical Engineer
,,,,,6.69,Microbiology (M.Sc),1,,Google Analytics,,,,,,,,,,Clinical Psychologist
,,,,,7.17,Entrepreneurship (Advanced),1,,C++,,,,,,,,,,HR Director
,,,,,8.87,Physics (M.Sc),2,,AWS,,,,,,,,,,Senior Researcher
,,,,,7.84,Public Administration,0,,AWS,,,,,,,,,,Public Relations Officer
,,,,,9.99,Journalism & Mass Communication,1,,Java,,,,,,,,,,Journalist
,,,,,9.81,Information Technology (M.Sc),0,,Scrum Master,,,,,,,,,,Senior Researcher
,,,,,6.05,Information Technology,0,,Six Sigma,,,,,,,,,,System Engineer
,,,,,7.52,Structural Engineering,2,,CPA,,,,,,,,,,Senior Data Scientist
,,,,,6.61,AI & Data Science,2,,AutoCAD,,,,,,,,,,Full Stack Developer
,,,,,8.14,Civil Engineering,1,,Python,,,,,,,,,,Structural Engineer
,,,,,7.64,Textile Design,1,,Six Sigma,,,,,,,,,,Product Designer
,,,,,7.26,Transportation Engineering,2,,Six Sigma,,,,,,,,,,VLSI Architect
,,,,,8.96,Digital Marketing,2,,Java,,,,,,,,,,Business Analyst
,,,,,6.92,Mechatronics Engineering,1,,AutoCAD,,,,,,,,,,Automotive Design Engineer
,,,,,6.8,Chemical Engineering,0,,Scrum Master,,,,,,,,,,Process Engineer
,,,,,9.99,Marine Engineering,0,,Six Sigma,,,,,,,,,,Robotics Engineer
,,,,,8.89,Aviation Management (Advanced),2,,Java,,,,,,,,,,Supply Chain Manager
,,,,,9.41,Physics (M.Sc),0,,Photoshop,,,,,,,,,,Senior Researcher
,,,,,8.68,Nursing,2,,,,,,,,,,,,Clinical Research Associate
,,,,,9.83,Microbiology,2,,Scrum Master,,,,,,,,,,Clinical Research Associate
,,,,,7.0,Machine Learning,1,,,,,,,,,,,,VLSI Architect
,,,,,6.72,Entrepreneurship,1,,React,,,,,,,,,,HR Generalist
,,,,,7.27,Nursing,0,,Java,,,,,,,,,,Dietician
,,,,,7.38,Computer Science (M.Sc),2,,AutoCAD,,,,,,,,,,Clinical Psychologist
,,,,,7.17,Statistics,2,,React,,,,,,,,,,Data Analyst
,,,,,6.84,International Business,0,,,,,,,,,,,,Tax Consultant
,,,,,7.06,Electronics,0,,CPA,,,,,,,,,,Data Analyst
,,,,,6.68,International Business,2,,PMP,,,,,,,,,,Tax Consultant
,,,,,9.14,Civil Engineering,1,,AWS,,,,,,,,,,Project Manager
,,,,,7.19,English,0,,AutoCAD,,,,,,,,,,Policy Analyst
,,,,,8.31,Banking & Financial Services,1,,PMP,,,,,,,,,,Hospital Administrator
,,,,,8.28,Textile Engineering,0,,Google Analytics,,,,,,,,,,Biomedical Engineer
,,,,,9.95,Robotics,1,,,,,,,,,,,,R&D Engineer
,,,,,9.1,Performing Arts,0,,AutoCAD,,,,,,,,,,Journalist
,,,,,9.11,Biotechnology,0,,,,,,,,,,,,Clinical Research Associate
,,,,,8.07,Statistics (M.Sc),2,,Google Analytics,,,,,,,,,,Data Engineer
,,,,,8.46,Machine Learning,1,,,,,,,,,,,,Senior Data Scientist
,,,,,7.27,Chemistry (M.Sc),1,,CPA,,,,,,,,,,Clinical Psychologist
,,,,,8.24,Nursing,2,,AWS,,,,,,,,,,Microbiologist
,,,,,7.56,Microbiology,0,,Photoshop,,,,,,,,,,Microbiologist
,,,,,6.93,Sanskrit,1,,AutoCAD,,,,,,,,,,Policy Analyst
,,,,,8.48,Education,0,,AutoCAD,,,,,,,,,,Psychologist
,,,,,7.74,Animation & Multimedia,2,,Photoshop,,,,,,,,,,Product Designer
,,,,,9.77,Agriculture,0,,AWS,,,,,,,,,,Clinical Research Associate
,,,,,9.41,Machine Learning,1,,Scrum Master,,,,,,,,,,R&D Engineer
,,,,,8.04,Food Technology,0,,Google Analytics,,,,,,,,,,Biomedical Engineer
,,,,,8.2,Marine Engineering,0,,PMP,,,,,,,,,,Biomedical Engineer
,,,,,8.46,Cybersecurity (Masters),1,,,,,,,,,,,,Senior Data Scientist
,,,,,6.09,Information Technology (M.Sc),2,,React,,,,,,,,,,Statistician
,,,,,8.34,Computer Science Engineering,0,,AutoCAD,,,,,,,,,,Data Scientist
,,,,,9.9,Fine Arts,2,,,,,,,,,,,,Journalist
,,,,,8.51,Data Science (M.Sc),0,,AWS,,,,,,,,,,Senior Researcher
,,,,,6.56,Operations Management (Advanced),1,,CPA,,,,,,,,,,HR Director
,,,,,8.63,Biotechnology (M.Sc),1,,CFA,,,,,,,,,,Senior Researcher
,,,,,7.2,Psychology,0,,CPA,,,,,,,,,,Policy Analyst
,,,,,8.24,Electronics & Communication Engineering,0,,CPA,,,,,,,,,,Embedded Systems Engineer
,,,,,8.14,Industrial Design,2,,AutoCAD,,,,,,,,,,Product Designer
,,,,,9.1,Banking & Insurance,2,,AWS,,,,,,,,,,Chartered Accountant
,,,,,7.43,Information Technology,1,,Python,,,,,,,,,,Data Analyst
S128,23.0,Female,3.8,1520.0,9.25,Engineering,3,8.0,3,9.0,8.0,4.0,110000.0,9.0,2.0,Mid,6.0,No,
,,,,,8.82,Digital Marketing,2,,React,,,,,,,,,,Business Analyst
,,,,,8.24,Mechatronics Engineering,2,,C++,,,,,,,,,,Biomedical Engineer
,,,,,7.98,Digital Marketing,0,,Google Analytics,,,,,,,,,,Marketing Executive
,,,,,8.45,Nutrition & Dietetics,0,,,,,,,,,,,,Microbiologist
,,,,,8.79,Production Engineering,0,,Python,,,,,,,,,,Project Manager
,,,,,7.0,Mining Engineering,0,,,,,,,,,,,,Process Engineer
,,,,,7.54,VLSI,1,,AutoCAD,,,,,,,,,,Senior Data Scientist
,,,,,9.03,Computer Science Engineering,0,,CFA,,,,,,,,,,AI Engineer
,,,,,6.53,Textile Design,1,,AutoCAD,,,,,,,,,,Fashion Stylist
,,,,,9.53,Hospitality Management,0,,,,,,,,,,,,Hotel Manager
,,,,,9.46,Aviation Management (Advanced),0,,Photoshop,,,,,,,,,,Supply Chain Manager
,,,,,9.95,Marketing,1,,Six Sigma,,,,,,,,,,Business Analyst
,,,,,9.13,Hindi,2,,Python,,,,,,,,,,Content Writer
,,,,,8.04,Information Technology,1,,CFA,,,,,,,,,,Lab Technician
,,,,,6.99,Nursing,2,,Java,,,,,,,,,,Dietician
,,,,,6.27,Artificial Intelligence (M.Sc),1,,,,,,,,,,,,Statistician
,,,,,7.32,Manufacturing Engineering,2,,CPA,,,,,,,,,,VLSI Architect
,,,,,8.37,Sanskrit,0,,Google Analytics,,,,,,,,,,Psychologist
,,,,,8.15,Operations Management,2,,Scrum Master,,,,,,,,,,Marketing Executive
,,,,,8.4,Information Technology (M.Sc),2,,Scrum Master,,,,,,,,,,Data Engineer
,,,,,9.13,Psychology,0,,AutoCAD,,,,,,,,,,Clinical Research Associate
,,,,,9.57,Data Science,2,,Scrum Master,,,,,,,,,,Software Developer
,,,,,8.39,Finance (Advanced),1,,,,,,,,,,,,Product Manager
,,,,,8.66,Biotechnology (M.Sc),1,,Six Sigma,,,,,,,,,,Senior Researcher
,,,,,8.55,Artificial Intelligence (Masters),0,,C++,,,,,,,,,,R&D Engineer
,,,,,6.82,Automobile Engineering,0,,Six Sigma,,,,,,,,,,Automotive Design Engineer
,,,,,6.61,Aeronautical Engineering,2,,Scrum Master,,,,,,,,,,Automotive Design Engineer
S096,22.0,Female,3.5,1280.0,8.0,Law,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,Mid,7.0,No,
,,,,,8.08,Artificial Intelligence (M.Sc),1,,C++,,,,,,,,,,Data Engineer
,,,,,9.66,Marketing,0,,CFA,,,,,,,,,,Business Analyst
,,,,,6.27,Game Design,1,,Google Analytics,,,,,,,,,,Interior Architect
,,,,,9.5,Robotics,1,,PMP,,,,,,,,,,R&D Engineer
,,,,,8.19,Economics,0,,PMP,,,,,,,,,,Psychologist
,,,,,9.03,Education,0,,React,,,,,,,,,,Content Writer
,,,,,8.33,Mechanical Design,2,,Java,,,,,,,,,,Senior Data Scientist
,,,,,9.81,Physics (M.Sc),2,,CFA,,,,,,,,,,Senior Researcher
,,,,,7.46,Computer Science (M.Sc),0,,PMP,,,,,,,,,,Clinical Psychologist
S209,21.0,Male,3.9,1560.0,9.75,Computer Science,4,9.0,5,10.0,9.0,5.0,144000.0,10.0,1.0,Senior,5.0,No,
,,,,,8.79,History,0,,CFA,,,,,,,,,,Content Writer
S309,21.0,Male,3.7,1480.0,9.0,Engineering,3,7.0,3,8.0,7.0,3.0,96000.0,8.0,2.0,Mid,6.0,No,
,,,,,7.79,Performing Arts,1,,AWS,,,,,,,,,,Public Relations Officer
,,,,,8.44,Business Analytics,0,,Six Sigma,,,,,,,,,,Financial Auditor
,,,,,9.12,Education,0,,CPA,,,,,,,,,,Content Writer
,,,,,8.17,International Business,1,,C++,,,,,,,,,,Marketing Executive
,,,,,6.37,Healthcare Management,0,,Python,,,,,,,,,,Relationship Manager
,,,,,8.11,Chemistry,0,,React,,,,,,,,,,Lab Technician
,,,,,6.03,Power Systems,0,,PMP,,,,,,,,,,Robotics System Architect
,,,,,6.64,Game Design,2,,,,,,,,,,,,Fashion Stylist
,,,,,6.5,Biotechnology,2,,C++,,,,,,,,,,Registered Nurse
,,,,,8.69,Sanskrit,1,,Photoshop,,,,,,,,,,Content Writer
,,,,,7.82,Chemistry (M.Sc),1,,CPA,,,,,,,,,,Data Engineer
,,,,,7.03,Retail Management (Advanced),1,,AWS,,,,,,,,,,Portfolio Manager
,,,,,6.61,Banking & Insurance,2,,React,,,,,,,,,,Aviation Operations Manager
,,,,,9.95,Agriculture (M.Sc),1,,,,,,,,,,,,Senior Researcher
,,,,,9.0,Financial Markets,2,,PMP,,,,,,,,,,Chartered Accountant
,,,,,7.81,Healthcare Management (Advanced),1,,C++,,,,,,,,,,Hospital Administrator
,,,,,6.95,Automobile Engineering,1,,React,,,,,,,,,,Automotive Design Engineer
